Name of text file,Name of pattern file,Length of text,Length of pattern,Size of alphabet,Time taken by naive,Time taken by algorithm,How much faster is the algorithm,Number of matches
text10.txt,pattern10.txt,1000000,4,10,173694,42331,4.10323,71548
text10.txt,pattern10.txt,1000000,8,10,172045,40866,4.20998,379
text10.txt,pattern10.txt,1000000,16,10,172992,39668,4.361,100
text10.txt,pattern10.txt,1000000,32,10,173898,40742,4.26827,100
text10.txt,pattern10.txt,1000000,64,10,172311,40011,4.30659,100
text10.txt,pattern10.txt,1000000,128,10,173649,39938,4.34796,100
text10.txt,pattern10.txt,1000000,256,10,173534,40269,4.30937,100
text10.txt,pattern10.txt,1000000,512,10,174854,38888,4.49635,100
text10.txt,pattern10.txt,1000000,1024,10,174728,38422,4.5476,100
text20.txt,pattern20.txt,1000000,4,20,195789,32455,6.03263,727626
text20.txt,pattern20.txt,1000000,8,20,224010,47386,4.72735,15911
text20.txt,pattern20.txt,1000000,16,20,223855,46306,4.83425,100
text20.txt,pattern20.txt,1000000,32,20,228491,48820,4.68027,100
text20.txt,pattern20.txt,1000000,64,20,228454,48928,4.66919,100
text20.txt,pattern20.txt,1000000,128,20,224126,46980,4.77067,100
text20.txt,pattern20.txt,1000000,256,20,225321,47307,4.76295,100
text20.txt,pattern20.txt,1000000,512,20,230746,46377,4.97544,100
text20.txt,pattern20.txt,1000000,1024,20,228482,48248,4.73557,100
text40.txt,pattern40.txt,1000000,4,40,225799,37421,6.03402,23372
text40.txt,pattern40.txt,1000000,8,40,227388,36010,6.31458,14309
text40.txt,pattern40.txt,1000000,16,40,224148,37714,5.94336,100
text40.txt,pattern40.txt,1000000,32,40,229691,38053,6.03608,100
text40.txt,pattern40.txt,1000000,64,40,231233,35392,6.53348,100
text40.txt,pattern40.txt,1000000,128,40,224743,36394,6.17528,100
text40.txt,pattern40.txt,1000000,256,40,229585,37748,6.08204,100
text40.txt,pattern40.txt,1000000,512,40,227216,35591,6.38409,100
text40.txt,pattern40.txt,1000000,1024,40,228939,36463,6.27867,100
text80.txt,pattern80.txt,1000000,4,80,349978,38274,9.14401,11910
text80.txt,pattern80.txt,1000000,8,80,357394,40123,8.90746,9692
text80.txt,pattern80.txt,1000000,16,80,350133,38481,9.09885,100
text80.txt,pattern80.txt,1000000,32,80,360451,38245,9.42479,100
text80.txt,pattern80.txt,1000000,64,80,351428,38012,9.24519,100
text80.txt,pattern80.txt,1000000,128,80,351276,38267,9.17961,100
text80.txt,pattern80.txt,1000000,256,80,353821,38008,9.30912,100
text80.txt,pattern80.txt,1000000,512,80,360296,36587,9.84765,100
text80.txt,pattern80.txt,1000000,1024,80,351675,37882,9.28343,100
text160.txt,pattern160.txt,1000000,4,160,592070,24878,23.7989,961741
text160.txt,pattern160.txt,1000000,8,160,637464,27862,22.8793,835995
text160.txt,pattern160.txt,1000000,16,160,700802,36715,19.0876,462522
text160.txt,pattern160.txt,1000000,32,160,717151,43159,16.6165,105
text160.txt,pattern160.txt,1000000,64,160,711934,43085,16.5239,100
text160.txt,pattern160.txt,1000000,128,160,718291,43770,16.4106,100
text160.txt,pattern160.txt,1000000,256,160,719899,42599,16.8994,100
text160.txt,pattern160.txt,1000000,512,160,723877,45045,16.0701,100
text160.txt,pattern160.txt,1000000,1024,160,725807,41141,17.6419,100
text320.txt,pattern320.txt,1000000,4,320,989880,24311,40.7174,982413
text320.txt,pattern320.txt,1000000,8,320,1061784,24679,43.0238,917427
text320.txt,pattern320.txt,1000000,16,320,1116030,41358,26.9846,2584
text320.txt,pattern320.txt,1000000,32,320,1144245,39619,28.8812,850
text320.txt,pattern320.txt,1000000,64,320,1114731,40778,27.3366,100
text320.txt,pattern320.txt,1000000,128,320,1135803,38536,29.4738,100
text320.txt,pattern320.txt,1000000,256,320,1124134,39466,28.4836,100
text320.txt,pattern320.txt,1000000,512,320,1122248,39840,28.1689,100
text320.txt,pattern320.txt,1000000,1024,320,1119915,38648,28.9773,100
